phi	theta	svalue
190	180	100
195	5	100
195	10	-0.143504375
195	15	0.0704431746031746
195	20	0.380673174603175
195	25	0.723030211640212
195	30	0.509665767195767
195	35	-0.046886455026455
195	40	-0.64385164021164
195	45	-0.952859259259259
195	50	-1.03826203703704
195	55	-1.00831067901235
195	60	-0.915144012345679
195	65	-0.81165049382716
195	70	-0.664592592592593
195	75	-0.41809537037037
195	80	-0.158597222222222
195	85	-0.0124694444444444
195	90	0.0324388888888889
195	95	0.0717972222222222
195	100	0.0405305555555556
195	105	-0.016975
195	110	-0.0876
195	115	-0.130002380952381
195	120	-0.310322789115646
195	125	-0.497251360544218
195	130	-0.43066746031746
195	135	-0.208729365079365
